capture_frame_index,elapsed_start_seconds,event_count,FrameTime_ms,RenderThreadTime_ms,GameThreadTime_ms,RHIThreadTime_ms,PhysicsVerbose/AllWorkers/StepSolver_ms,PhysicsVerbose/AllWorkers/StepSolver_Integrate_ms,PhysicsVerbose/AllWorkers/StepSolver_KinematicTargets_ms,PhysicsVerbose/AllWorkers/StepSolver_UpdateConstraintPositionBasedState_ms,PhysicsVerbose/AllWorkers/StepSolver_ComputeIntermediateSpatialAcceleration_ms,PhysicsVerbose/AllWorkers/StepSolver_IntegrateKinematicSpatial_ms,PhysicsVerbose/AllWorkers/DetectCollisions_BroadPhase_ms,PhysicsVerbose/AllWorkers/DetectCollisions_NarrowPhase_ms,PhysicsVerbose/AllWorkers/StepSolver_DetectCollisions_ms,PhysicsVerbose/AllWorkers/CCD_ms,PhysicsVerbose/AllWorkers/StepSolver_CreateConstraintGraph_ms,PhysicsVerbose/AllWorkers/StepSolver_CreateIslands_ms,PhysicsVerbose/AllWorkers/StepSolver_PruneCollisions_ms,PhysicsVerbose/AllWorkers/StepSolver_ReloadCacheTotalSerialized_ms,PhysicsVerbose/AllWorkers/StepSolver_BuildGroups_ms,PhysicsVerbose/AllWorkers/StepSolver_PerIslandSolve_ms,PhysicsVerbose/AllWorkers/StepSolver_CCDCorrection_ms,PhysicsVerbose/AllWorkers/StepSolver_SavePostSolve_ms,PhysicsVerbose/AllWorkers/StepSolver_DeactivateSleep_ms,PhysicsVerbose/AllWorkers/StepSolver_AdvanceOneTimeStepImpl_ms,PhysicsVerbose/AllWorkers/StepSolver_PullData_ms,PhysicsVerbose/AllWorkers/StepSolver_IslandEndTick_ms,PhysicsVerbose/GameThread/AcquireSceneWriteLock_ms,PhysicsCounters/NumDisabledBodies_native,PhysicsCounters/NumBodies_native,PhysicsCounters/NumDynamicBodies_native,PhysicsCounters/NumKinematicBodies_native,PhysicsCounters/NumStaticBodies_native,PhysicsCounters/NumMovingBodies_native,PhysicsCounters/NumGeometryCollectionBodies_native,PhysicsCounters/NumIslands_native,PhysicsCounters/NumIslandGroups_native,PhysicsCounters/NumContacts_native,PhysicsCounters/NumJoints_native,PhysicsCounters/NumCharacterGroundConstraints_native,PhysicsCounters/NumValidConstraints_native,PhysicsCounters/NumActiveConstraints_native,PhysicsCounters/NumRestoredConstraints_native,PhysicsCounters/NumManifoldPoints_native,PhysicsCounters/NumActiveManifoldPoints_native,PhysicsCounters/NumRestoredManifoldPoints_native,PhysicsCounters/NumUpdatedManifoldPoints_native,PhysicsCounters/NumStaticShapes_native,PhysicsCounters/NumKinematicShapes_native,PhysicsCounters/NumDynamicShapes_native,PhysicsCounters/NumBroadPhasePairs_native,PhysicsCounters/NumMidPhases_native,PhysicsCounters/NumPositionIterations_native,PhysicsCounters/NumVelocityIterations_native,PhysicsCounters/NumProjectionIterations_native
10,0.0807094,0,8.033,1.9444,1.4712,1.3457,0.1133,0.0037,0.0056,0.0003,0.0216,0.0332,0.0022,0.0009,0.0108,0.0001,0.0019,0.0017,0.0001,0.0001,0.0102,0.0011,0.0005,0.0001,0.001,0.0693,0.0123,0.0,0.0009,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
11,0.0887424,0,8.4514,1.9383,1.4167,1.3,0.1006,0.0032,0.0056,0.0002,0.0123,0.0234,0.0019,0.0013,0.0083,0.0005,0.0015,0.002,0.0001,0.0001,0.0089,0.0013,0.0005,0.0002,0.001,0.0559,0.0135,0.0,0.0009,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
12,0.0971938,0,8.446,1.8322,1.3758,1.6241,0.1216,0.0032,0.0043,0.0003,0.0273,0.0372,0.0019,0.001,0.0109,0.0002,0.0015,0.0018,0.0005,0.0001,0.0094,0.0018,0.0005,0.0001,0.0009,0.0741,0.013,0.0,0.0009,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
13,0.10563979999999999,0,8.3104,2.001,1.6506,1.6884,0.1056,0.0039,0.0061,0.0003,0.0092,0.0229,0.0018,0.001,0.009,0.0002,0.0016,0.0022,0.0001,0.0001,0.01,0.0012,0.0005,0.0002,0.0011,0.0579,0.0133,0.0,0.0009,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
14,0.11395019999999999,0,8.1522,1.9677,1.5427,1.6949,0.1292,0.0017,0.0068,0.0003,0.0155,0.027,0.0017,0.0011,0.0154,0.0001,0.0024,0.002,0.0001,0.0002,0.012,0.0019,0.0009,0.0002,0.0016,0.0759,0.0175,0.0,0.0016,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
15,0.12210239999999999,0,8.4955,1.8979,1.4364,1.2433,0.1094,0.0016,0.0049,0.0002,0.0122,0.0221,0.0018,0.0011,0.0085,0.0002,0.0017,0.0024,0.0001,0.0002,0.0097,0.0014,0.0005,0.0002,0.0011,0.0573,0.0171,0.0,0.0009,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
16,0.1305979,0,8.0722,1.9326,1.4615,1.4997,0.13,0.0032,0.0067,0.0003,0.0316,0.0445,0.0023,0.0011,0.0116,0.0002,0.0015,0.002,0.0001,0.0001,0.0101,0.0011,0.0005,0.0001,0.0018,0.0821,0.0136,0.0,0.0016,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
17,0.1386701,0,8.5347,1.9765,1.2262,1.313,0.1047,0.002,0.0045,0.0003,0.011,0.0203,0.0022,0.0011,0.009,0.0003,0.0015,0.0022,0.0001,0.0002,0.0098,0.0011,0.0005,0.0001,0.0013,0.056,0.015,0.0,0.0011,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
18,0.1472048,0,8.3063,1.9074,1.5241,1.2975,0.1106,0.0017,0.0062,0.0002,0.0169,0.0281,0.0019,0.001,0.0087,0.0002,0.0015,0.0021,0.0001,0.0001,0.0095,0.0012,0.0005,0.0001,0.0013,0.0614,0.0159,0.0,0.0011,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
19,0.15551109999999999,0,8.0315,1.8236,1.3294,1.7817,0.0882,0.0025,0.0042,0.0002,0.01,0.0201,0.0018,0.0006,0.0072,0.0002,0.0014,0.0016,0.0001,0.0001,0.0092,0.0011,0.0004,0.0,0.0007,0.0498,0.0107,0.0,0.0009,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
