capture_frame_index,elapsed_start_seconds,event_count,FrameTime_ms,RenderThreadTime_ms,GameThreadTime_ms,RHIThreadTime_ms,PhysicsVerbose/AllWorkers/StepSolver_ms,PhysicsVerbose/AllWorkers/StepSolver_Integrate_ms,PhysicsVerbose/AllWorkers/StepSolver_KinematicTargets_ms,PhysicsVerbose/AllWorkers/StepSolver_UpdateConstraintPositionBasedState_ms,PhysicsVerbose/AllWorkers/StepSolver_ComputeIntermediateSpatialAcceleration_ms,PhysicsVerbose/AllWorkers/StepSolver_IntegrateKinematicSpatial_ms,PhysicsVerbose/AllWorkers/DetectCollisions_BroadPhase_ms,PhysicsVerbose/AllWorkers/DetectCollisions_NarrowPhase_ms,PhysicsVerbose/AllWorkers/StepSolver_DetectCollisions_ms,PhysicsVerbose/AllWorkers/CCD_ms,PhysicsVerbose/AllWorkers/StepSolver_CreateConstraintGraph_ms,PhysicsVerbose/AllWorkers/StepSolver_CreateIslands_ms,PhysicsVerbose/AllWorkers/StepSolver_PruneCollisions_ms,PhysicsVerbose/AllWorkers/StepSolver_ReloadCacheTotalSerialized_ms,PhysicsVerbose/AllWorkers/StepSolver_BuildGroups_ms,PhysicsVerbose/AllWorkers/StepSolver_PerIslandSolve_ms,PhysicsVerbose/AllWorkers/StepSolver_CCDCorrection_ms,PhysicsVerbose/AllWorkers/StepSolver_SavePostSolve_ms,PhysicsVerbose/AllWorkers/StepSolver_DeactivateSleep_ms,PhysicsVerbose/AllWorkers/StepSolver_AdvanceOneTimeStepImpl_ms,PhysicsVerbose/AllWorkers/StepSolver_PullData_ms,PhysicsVerbose/AllWorkers/StepSolver_IslandEndTick_ms,PhysicsVerbose/GameThread/AcquireSceneWriteLock_ms,PhysicsCounters/NumDisabledBodies_native,PhysicsCounters/NumBodies_native,PhysicsCounters/NumDynamicBodies_native,PhysicsCounters/NumKinematicBodies_native,PhysicsCounters/NumStaticBodies_native,PhysicsCounters/NumMovingBodies_native,PhysicsCounters/NumGeometryCollectionBodies_native,PhysicsCounters/NumIslands_native,PhysicsCounters/NumIslandGroups_native,PhysicsCounters/NumContacts_native,PhysicsCounters/NumJoints_native,PhysicsCounters/NumCharacterGroundConstraints_native,PhysicsCounters/NumValidConstraints_native,PhysicsCounters/NumActiveConstraints_native,PhysicsCounters/NumRestoredConstraints_native,PhysicsCounters/NumManifoldPoints_native,PhysicsCounters/NumActiveManifoldPoints_native,PhysicsCounters/NumRestoredManifoldPoints_native,PhysicsCounters/NumUpdatedManifoldPoints_native,PhysicsCounters/NumStaticShapes_native,PhysicsCounters/NumKinematicShapes_native,PhysicsCounters/NumDynamicShapes_native,PhysicsCounters/NumBroadPhasePairs_native,PhysicsCounters/NumMidPhases_native,PhysicsCounters/NumPositionIterations_native,PhysicsCounters/NumVelocityIterations_native,PhysicsCounters/NumProjectionIterations_native
1199,10.007797300000018,0,8.2924,1.7817,2.1319,1.6813,0.1863,0.0025,0.0074,0.0002,0.0317,0.0444,0.0023,0.0006,0.0093,0.0002,0.0014,0.0015,0.0001,0.0001,0.0082,0.0012,0.0004,0.0005,0.0031,0.0844,0.0194,0.0,0.0134,0.0,155.0,0.0,92.0,63.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1200,10.016089700000018,0,8.3777,1.8372,2.2108,1.7255,0.201,0.0032,0.0077,0.0002,0.0458,0.0592,0.0019,0.0007,0.0102,0.0001,0.0019,0.0016,0.0001,0.0001,0.008,0.0014,0.0005,0.0,0.0033,0.1002,0.0196,0.0,0.0142,0.0,155.0,0.0,92.0,63.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1201,10.024467400000018,0,8.2924,1.9925,2.2072,1.8197,0.2261,0.0032,0.011,0.0002,0.0371,0.0541,0.0026,0.001,0.012,0.0002,0.0022,0.0023,0.0003,0.0003,0.0102,0.0014,0.0005,0.0002,0.0044,0.1077,0.0208,0.0,0.0132,0.0,155.0,0.0,92.0,63.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1202,10.032759800000019,0,8.3855,2.0433,2.2162,1.7735,0.2029,0.0025,0.0077,0.0002,0.04,0.0529,0.0023,0.0009,0.0128,0.0002,0.0015,0.0016,0.0005,0.0001,0.0088,0.0019,0.0005,0.0001,0.0038,0.1002,0.0207,0.0001,0.0147,0.0,155.0,0.0,92.0,63.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1203,10.041145300000018,0,8.3846,1.838,2.2145,1.6655,0.2188,0.003,0.0092,0.0001,0.0347,0.0499,0.0031,0.0012,0.0116,0.0001,0.0019,0.0018,0.0005,0.0001,0.0081,0.0014,0.001,0.0002,0.0046,0.0969,0.0253,0.0001,0.0131,0.0,155.0,0.0,92.0,63.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1204,10.049529900000017,0,8.2863,1.8396,2.2625,1.7306,0.221,0.0054,0.0093,0.0002,0.0428,0.0601,0.0023,0.0008,0.0099,0.0001,0.0015,0.0016,0.0001,0.0001,0.0085,0.0013,0.0009,0.0001,0.0039,0.1049,0.0217,0.0,0.0145,0.0,155.0,0.0,92.0,63.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1205,10.057816200000017,0,8.2862,1.8925,2.2311,1.8237,0.2013,0.003,0.009,0.0002,0.0295,0.0439,0.0024,0.0009,0.0111,0.0002,0.0015,0.0017,0.0,0.0001,0.0082,0.0013,0.0004,0.0,0.004,0.0883,0.0206,0.0,0.013,0.0,155.0,0.0,92.0,63.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1206,10.066102400000018,0,8.391,1.9148,2.1771,1.8388,0.21,0.003,0.0078,0.0002,0.0467,0.0598,0.002,0.0008,0.0107,0.0002,0.0014,0.002,0.0001,0.0001,0.0082,0.0019,0.0004,0.0,0.0039,0.1045,0.0239,0.0001,0.0129,0.0,155.0,0.0,92.0,63.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1207,10.074493400000017,0,8.2738,1.8407,2.2686,1.7837,0.195,0.003,0.0083,0.0002,0.0343,0.0487,0.0024,0.0007,0.0097,0.0001,0.0013,0.002,0.0001,0.0002,0.0077,0.0012,0.0004,0.0001,0.0034,0.0897,0.02,0.0001,0.0155,0.0,155.0,0.0,92.0,63.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1208,10.082767200000017,0,8.397,1.8402,2.1092,1.8318,0.2121,0.0031,0.009,0.0002,0.055,0.0705,0.0023,0.0007,0.0097,0.0001,0.0018,0.0016,0.0,0.0001,0.0086,0.0012,0.0004,0.0,0.0032,0.109,0.0229,0.0,0.0144,0.0,155.0,0.0,92.0,63.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1209,10.091164200000017,0,8.3359,1.8638,2.299,1.8662,0.2164,0.0029,0.0089,0.0002,0.0379,0.0522,0.0022,0.0009,0.0113,0.0001,0.0015,0.0021,0.0,0.0002,0.0085,0.0018,0.0004,0.0001,0.0042,0.0978,0.0206,0.0001,0.0132,0.0,155.0,0.0,92.0,63.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1210,10.099500100000018,0,8.3297,1.8495,2.3019,1.7404,0.2306,0.0034,0.0079,0.0002,0.0449,0.0585,0.0023,0.0009,0.011,0.0001,0.0014,0.0016,0.0,0.0001,0.0084,0.0014,0.0004,0.0,0.0042,0.1025,0.046,0.0,0.0147,0.0,155.0,0.0,92.0,63.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1211,10.107829800000019,0,8.2139,1.8831,2.0731,1.8218,0.1786,0.0026,0.0083,0.0002,0.0308,0.0437,0.0019,0.0006,0.0087,0.0002,0.0012,0.0015,0.0,0.0001,0.0076,0.0011,0.0004,0.0,0.0033,0.0803,0.0206,0.0,0.0133,0.0,155.0,0.0,92.0,63.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1212,10.116043700000018,0,8.45,1.8795,2.2496,1.7131,0.2174,0.0033,0.0091,0.0002,0.0401,0.0548,0.002,0.0007,0.0105,0.0002,0.0014,0.002,0.0001,0.0001,0.0084,0.0017,0.0005,0.0,0.004,0.101,0.022,0.0001,0.0147,0.0,155.0,0.0,92.0,63.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1213,10.124493700000018,0,8.1234,2.0275,2.0901,1.7452,0.224,0.0033,0.0087,0.0003,0.045,0.0601,0.0022,0.0006,0.0109,0.0002,0.0014,0.0017,0.0,0.0001,0.0078,0.0011,0.0003,0.0,0.0032,0.1008,0.0338,0.0,0.0141,0.0,155.0,0.0,92.0,63.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1214,10.132617100000019,0,8.6227,1.9562,2.213,1.827,0.2078,0.0031,0.0088,0.0002,0.0402,0.0546,0.0019,0.0008,0.0094,0.0002,0.0016,0.0016,0.0,0.0001,0.0081,0.0012,0.0005,0.0005,0.0034,0.0956,0.0192,0.0001,0.0143,0.0,155.0,0.0,92.0,63.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1215,10.141239800000019,0,8.1199,1.9233,2.1827,1.8473,0.1807,0.0025,0.0076,0.0001,0.0318,0.0441,0.0017,0.0005,0.0089,0.0002,0.0018,0.0013,0.0,0.0001,0.0079,0.0015,0.0004,0.0001,0.0031,0.0837,0.0214,0.0,0.0142,0.0,155.0,0.0,92.0,63.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1216,10.14935970000002,0,8.6329,1.8704,2.2882,1.7115,0.3294,0.007,0.0222,0.0001,0.0618,0.096,0.002,0.0008,0.0098,0.0001,0.002,0.0017,0.0,0.0001,0.0079,0.0013,0.0005,0.0,0.0032,0.1379,0.0235,0.0001,0.0139,0.0,155.0,0.0,92.0,63.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1217,10.15799260000002,0,8.1117,1.7911,2.2258,1.709,0.2269,0.0041,0.0092,0.0002,0.0401,0.057,0.0025,0.0008,0.0111,0.0003,0.0013,0.0022,0.0001,0.0001,0.0098,0.0013,0.001,0.0,0.0034,0.1029,0.0239,0.0001,0.013,0.0,155.0,0.0,92.0,63.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1218,10.16610430000002,0,8.4649,1.9426,2.1995,1.8383,0.2012,0.003,0.0081,0.0003,0.041,0.0546,0.0019,0.0007,0.0092,0.0007,0.0013,0.0016,0.0002,0.0001,0.0081,0.0012,0.0004,0.0,0.0035,0.0948,0.022,0.0001,0.0127,0.0,155.0,0.0,92.0,63.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
