capture_frame_index,elapsed_start_seconds,event_count,FrameTime_ms,RenderThreadTime_ms,GameThreadTime_ms,RHIThreadTime_ms,PhysicsVerbose/AllWorkers/StepSolver_ms,PhysicsVerbose/AllWorkers/StepSolver_Integrate_ms,PhysicsVerbose/AllWorkers/StepSolver_KinematicTargets_ms,PhysicsVerbose/AllWorkers/StepSolver_UpdateConstraintPositionBasedState_ms,PhysicsVerbose/AllWorkers/StepSolver_ComputeIntermediateSpatialAcceleration_ms,PhysicsVerbose/AllWorkers/StepSolver_IntegrateKinematicSpatial_ms,PhysicsVerbose/AllWorkers/DetectCollisions_BroadPhase_ms,PhysicsVerbose/AllWorkers/DetectCollisions_NarrowPhase_ms,PhysicsVerbose/AllWorkers/StepSolver_DetectCollisions_ms,PhysicsVerbose/AllWorkers/CCD_ms,PhysicsVerbose/AllWorkers/StepSolver_CreateConstraintGraph_ms,PhysicsVerbose/AllWorkers/StepSolver_CreateIslands_ms,PhysicsVerbose/AllWorkers/StepSolver_PruneCollisions_ms,PhysicsVerbose/AllWorkers/StepSolver_ReloadCacheTotalSerialized_ms,PhysicsVerbose/AllWorkers/StepSolver_BuildGroups_ms,PhysicsVerbose/AllWorkers/StepSolver_PerIslandSolve_ms,PhysicsVerbose/AllWorkers/StepSolver_CCDCorrection_ms,PhysicsVerbose/AllWorkers/StepSolver_DeactivateSleep_ms,PhysicsVerbose/AllWorkers/StepSolver_IslandEndTick_ms,PhysicsVerbose/AllWorkers/StepSolver_AdvanceOneTimeStepImpl_ms,PhysicsVerbose/AllWorkers/StepSolver_PullData_ms,PhysicsVerbose/AllWorkers/StepSolver_SavePostSolve_ms,PhysicsVerbose/GameThread/AcquireSceneWriteLock_ms,PhysicsCounters/NumDisabledBodies_native,PhysicsCounters/NumBodies_native,PhysicsCounters/NumDynamicBodies_native,PhysicsCounters/NumKinematicBodies_native,PhysicsCounters/NumStaticBodies_native,PhysicsCounters/NumMovingBodies_native,PhysicsCounters/NumGeometryCollectionBodies_native,PhysicsCounters/NumIslands_native,PhysicsCounters/NumIslandGroups_native,PhysicsCounters/NumContacts_native,PhysicsCounters/NumJoints_native,PhysicsCounters/NumCharacterGroundConstraints_native,PhysicsCounters/NumValidConstraints_native,PhysicsCounters/NumActiveConstraints_native,PhysicsCounters/NumRestoredConstraints_native,PhysicsCounters/NumManifoldPoints_native,PhysicsCounters/NumActiveManifoldPoints_native,PhysicsCounters/NumRestoredManifoldPoints_native,PhysicsCounters/NumUpdatedManifoldPoints_native,PhysicsCounters/NumStaticShapes_native,PhysicsCounters/NumKinematicShapes_native,PhysicsCounters/NumDynamicShapes_native,PhysicsCounters/NumBroadPhasePairs_native,PhysicsCounters/NumMidPhases_native,PhysicsCounters/NumPositionIterations_native,PhysicsCounters/NumVelocityIterations_native,PhysicsCounters/NumProjectionIterations_native
1210,10.084944999999998,0,8.4952,1.8538,1.826,1.6944,0.1591,0.0034,0.0066,0.0002,0.0255,0.0379,0.0023,0.0006,0.0077,0.0001,0.0016,0.0015,0.0,0.0001,0.0082,0.0013,0.0006,0.0027,0.0,0.0745,0.0179,0.0001,0.0086,0.0,125.0,0.0,62.0,63.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1211,10.093440199999998,0,8.2821,1.8118,1.9548,1.5921,0.1811,0.0028,0.0051,0.0002,0.0354,0.046,0.0023,0.0008,0.0122,0.0002,0.0015,0.0025,0.0002,0.0001,0.0083,0.0017,0.0005,0.0028,0.0,0.0907,0.02,0.0001,0.0094,0.0,125.0,0.0,62.0,63.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1212,10.101722299999999,0,8.3203,1.8749,1.8768,1.5549,0.1832,0.0031,0.0071,0.0002,0.0421,0.0547,0.0022,0.0007,0.0094,0.0007,0.0015,0.0016,0.0002,0.0001,0.0085,0.0012,0.0005,0.0029,0.0,0.0946,0.0199,0.0001,0.0088,0.0,125.0,0.0,62.0,63.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1213,10.110042599999998,0,8.329,1.793,1.8917,1.7485,0.1745,0.0031,0.006,0.0002,0.036,0.0485,0.0025,0.0008,0.0095,0.0002,0.0015,0.0019,0.0,0.0001,0.0082,0.0014,0.0005,0.0025,0.0,0.0876,0.0201,0.0001,0.0112,0.0,125.0,0.0,62.0,63.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1214,10.118371599999998,0,8.3223,1.7731,1.956,1.6492,0.223,0.0029,0.005,0.0002,0.0503,0.061,0.0032,0.0013,0.0147,0.0002,0.0025,0.0017,0.0001,0.0001,0.0093,0.0016,0.0005,0.005,0.0,0.1175,0.0317,0.0001,0.0102,0.0,125.0,0.0,62.0,63.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1215,10.126693899999998,0,8.5602,1.8279,1.9118,1.754,0.1975,0.0037,0.0077,0.0002,0.0296,0.0441,0.0027,0.0011,0.0114,0.0001,0.0021,0.0017,0.0001,0.0001,0.0097,0.0019,0.0006,0.0034,0.0001,0.0935,0.021,0.0001,0.0093,0.0,125.0,0.0,62.0,63.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1216,10.135254099999997,0,8.1177,1.9507,2.0724,1.8399,0.1912,0.0028,0.0067,0.0009,0.037,0.0503,0.0026,0.0008,0.0124,0.0001,0.0017,0.0021,0.0001,0.0001,0.0096,0.0014,0.0004,0.003,0.0001,0.0963,0.0199,0.0001,0.0097,0.0,125.0,0.0,62.0,63.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1217,10.143371799999997,0,8.3552,1.8098,1.7445,1.6414,0.1632,0.0026,0.0061,0.0002,0.0282,0.0398,0.002,0.0006,0.0094,0.0002,0.002,0.0016,0.0002,0.0006,0.0084,0.0011,0.0004,0.0028,0.0,0.0778,0.0171,0.0,0.0099,0.0,125.0,0.0,62.0,63.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1218,10.151726999999998,0,8.3613,1.8672,2.0361,1.7036,0.1836,0.0028,0.0071,0.0002,0.0422,0.0545,0.0024,0.0007,0.0107,0.0001,0.0013,0.0018,0.0,0.0001,0.0084,0.0016,0.0004,0.0026,0.0,0.0951,0.0195,0.0001,0.0094,0.0,125.0,0.0,62.0,63.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1219,10.160088299999998,0,8.3029,1.8031,1.8009,1.675,0.1591,0.0027,0.0061,0.0002,0.0273,0.0382,0.0019,0.0006,0.0096,0.0001,0.0019,0.0015,0.0001,0.0006,0.0083,0.0011,0.0004,0.003,0.0001,0.0766,0.0189,0.0,0.0094,0.0,125.0,0.0,62.0,63.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
