capture_frame_index,elapsed_start_seconds,event_count,FrameTime_ms,RenderThreadTime_ms,GameThreadTime_ms,RHIThreadTime_ms,PhysicsVerbose/AllWorkers/StepSolver_ms,PhysicsVerbose/AllWorkers/StepSolver_Integrate_ms,PhysicsVerbose/AllWorkers/StepSolver_KinematicTargets_ms,PhysicsVerbose/AllWorkers/StepSolver_UpdateConstraintPositionBasedState_ms,PhysicsVerbose/AllWorkers/StepSolver_ComputeIntermediateSpatialAcceleration_ms,PhysicsVerbose/AllWorkers/StepSolver_IntegrateKinematicSpatial_ms,PhysicsVerbose/AllWorkers/DetectCollisions_BroadPhase_ms,PhysicsVerbose/AllWorkers/DetectCollisions_NarrowPhase_ms,PhysicsVerbose/AllWorkers/StepSolver_DetectCollisions_ms,PhysicsVerbose/AllWorkers/CCD_ms,PhysicsVerbose/AllWorkers/StepSolver_CreateConstraintGraph_ms,PhysicsVerbose/AllWorkers/StepSolver_CreateIslands_ms,PhysicsVerbose/AllWorkers/StepSolver_PruneCollisions_ms,PhysicsVerbose/AllWorkers/StepSolver_ReloadCacheTotalSerialized_ms,PhysicsVerbose/AllWorkers/StepSolver_BuildGroups_ms,PhysicsVerbose/AllWorkers/StepSolver_PerIslandSolve_ms,PhysicsVerbose/AllWorkers/StepSolver_CCDCorrection_ms,PhysicsVerbose/AllWorkers/StepSolver_SavePostSolve_ms,PhysicsVerbose/AllWorkers/StepSolver_DeactivateSleep_ms,PhysicsVerbose/AllWorkers/StepSolver_AdvanceOneTimeStepImpl_ms,PhysicsVerbose/AllWorkers/StepSolver_PullData_ms,PhysicsVerbose/AllWorkers/StepSolver_IslandEndTick_ms,PhysicsVerbose/GameThread/AcquireSceneWriteLock_ms,PhysicsCounters/NumDisabledBodies_native,PhysicsCounters/NumBodies_native,PhysicsCounters/NumDynamicBodies_native,PhysicsCounters/NumKinematicBodies_native,PhysicsCounters/NumStaticBodies_native,PhysicsCounters/NumMovingBodies_native,PhysicsCounters/NumGeometryCollectionBodies_native,PhysicsCounters/NumIslands_native,PhysicsCounters/NumIslandGroups_native,PhysicsCounters/NumContacts_native,PhysicsCounters/NumJoints_native,PhysicsCounters/NumCharacterGroundConstraints_native,PhysicsCounters/NumValidConstraints_native,PhysicsCounters/NumActiveConstraints_native,PhysicsCounters/NumRestoredConstraints_native,PhysicsCounters/NumManifoldPoints_native,PhysicsCounters/NumActiveManifoldPoints_native,PhysicsCounters/NumRestoredManifoldPoints_native,PhysicsCounters/NumUpdatedManifoldPoints_native,PhysicsCounters/NumStaticShapes_native,PhysicsCounters/NumKinematicShapes_native,PhysicsCounters/NumDynamicShapes_native,PhysicsCounters/NumBroadPhasePairs_native,PhysicsCounters/NumMidPhases_native,PhysicsCounters/NumPositionIterations_native,PhysicsCounters/NumVelocityIterations_native,PhysicsCounters/NumProjectionIterations_native
0,0.0,0,9.6928,333.1014,142.9513,20.1688,0.9196,0.0048,0.0048,0.0002,0.1702,0.1863,0.0073,0.0057,0.0509,0.0002,0.0081,0.0079,0.0023,0.0001,0.0126,0.005,0.0051,0.0001,0.0017,0.3211,0.0436,0.0,0.0009,0.0,65.0,0.0,2.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1,0.0096928,0,4.6014,9.5674,4.1594,1.9481,0.2186,0.0051,0.0092,0.0003,0.085,0.1028,0.0065,0.0013,0.0177,0.0002,0.0019,0.0025,0.0003,0.0003,0.0148,0.0026,0.0009,0.0001,0.0028,0.1586,0.0182,0.0001,0.0016,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
2,0.0142942,0,7.9797,2.0984,1.6544,1.5611,0.1347,0.0048,0.0078,0.0004,0.0211,0.037,0.0026,0.001,0.0083,0.0002,0.0016,0.0022,0.0001,0.0001,0.0106,0.0013,0.0005,0.0,0.0012,0.0757,0.0208,0.0,0.0009,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
3,0.0222739,0,8.4514,2.3607,1.6033,1.6402,0.1261,0.0054,0.0044,0.0003,0.0247,0.0385,0.0026,0.0011,0.0099,0.0001,0.0024,0.0028,0.0002,0.0001,0.0088,0.0015,0.0005,0.0001,0.0009,0.0743,0.0153,0.0001,0.001,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
4,0.030725299999999997,0,8.1076,2.2667,1.595,1.5685,0.1225,0.0055,0.0043,0.0008,0.0186,0.0323,0.0017,0.001,0.0127,0.0002,0.0019,0.0019,0.0001,0.0002,0.0093,0.0013,0.001,0.0002,0.001,0.071,0.0153,0.0,0.0008,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
5,0.0388329,0,8.32,2.0606,1.3231,1.5192,0.1109,0.0047,0.004,0.0003,0.0217,0.0334,0.0021,0.001,0.0089,0.0001,0.0016,0.002,0.0001,0.0001,0.008,0.0014,0.0005,0.0001,0.0009,0.0648,0.0146,0.0,0.0008,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
6,0.0471529,0,8.5162,1.8011,1.7315,1.5006,0.2193,0.0063,0.0049,0.0007,0.041,0.0564,0.0051,0.0025,0.0282,0.0002,0.0035,0.0043,0.0005,0.0004,0.0201,0.003,0.0008,0.0004,0.0018,0.1324,0.0306,0.0001,0.0014,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
7,0.0556691,0,8.2839,1.9209,1.4544,1.421,0.1186,0.0028,0.0036,0.0003,0.0268,0.0359,0.0026,0.0009,0.0131,0.0003,0.0015,0.0024,0.0001,0.0001,0.0092,0.0013,0.0004,0.0001,0.0009,0.0744,0.0127,0.0,0.0007,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
8,0.063953,0,8.3094,1.9618,1.6029,1.304,0.1272,0.0034,0.0041,0.0002,0.0316,0.042,0.0029,0.001,0.0135,0.0002,0.0015,0.0023,0.0001,0.0002,0.0083,0.0017,0.0005,0.0001,0.0009,0.08,0.0137,0.0,0.0008,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
9,0.07226239999999999,0,8.2039,2.0458,1.4423,1.3647,0.1163,0.0031,0.004,0.0002,0.0128,0.0223,0.0022,0.0009,0.0086,0.0001,0.0019,0.0017,0.0001,0.0001,0.0088,0.0011,0.0005,0.0001,0.001,0.0532,0.0312,0.0001,0.001,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
10,0.08046629999999999,0,8.491,1.8343,1.6072,1.7558,0.1156,0.0038,0.0058,0.0002,0.019,0.0313,0.0021,0.0015,0.0097,0.0001,0.0014,0.0021,0.0002,0.0001,0.0094,0.0012,0.0005,0.0001,0.0009,0.0657,0.015,0.0,0.0013,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
11,0.08895729999999999,0,8.3274,1.9247,1.4179,1.2885,0.1029,0.0033,0.0047,0.0002,0.011,0.0213,0.0018,0.0007,0.0083,0.0002,0.0016,0.0023,0.0001,0.0001,0.0085,0.0019,0.0005,0.0002,0.0009,0.055,0.016,0.0,0.0013,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
12,0.09728469999999999,0,8.3501,2.2445,1.755,1.5243,0.1083,0.0033,0.0066,0.0003,0.0181,0.0305,0.0023,0.0008,0.0085,0.0002,0.002,0.0016,0.0001,0.0001,0.0084,0.0012,0.0005,0.0001,0.0014,0.0616,0.0131,0.0,0.001,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
