timestamp_ms,phase,player_x,player_y,speed_cm_s,left_foot_z,right_foot_z
11501,07_diagonal,253.39,82.35,180.00,13.36,14.82
11628,07_diagonal,240.86,101.18,180.00,13.18,22.42
11756,07_diagonal,224.82,117.86,180.00,20.08,12.97
11883,07_diagonal,208.67,134.08,180.00,11.93,12.16
12014,07_diagonal,192.02,150.74,180.00,13.47,26.21
12145,07_diagonal,175.36,167.40,180.00,12.70,11.96
12394,07_diagonal,143.71,199.05,180.00,19.76,12.95
12525,07_diagonal,126.95,215.81,180.00,12.01,10.95
12657,07_diagonal,110.23,232.53,180.00,25.88,13.44
12788,07_diagonal,93.56,249.20,180.00,12.26,13.52
12920,07_diagonal,76.76,265.99,180.00,12.80,18.12
13051,07_diagonal,60.00,282.76,180.00,24.33,13.33
13183,07_diagonal,43.20,299.56,180.00,11.09,11.15
13316,07_diagonal,26.29,316.46,180.00,13.28,23.77
13447,07_diagonal,9.70,333.06,180.00,18.71,12.85
13575,08_moving_fire,-6.78,349.22,170.16,13.15,12.31
13709,08_moving_fire,-27.88,338.56,180.00,13.48,26.30
13837,08_moving_fire,-44.74,322.66,180.00,11.94,11.72
13968,08_moving_fire,-61.38,306.11,180.00,21.71,13.14
14098,08_moving_fire,-77.94,289.57,180.00,13.07,21.29
14228,08_moving_fire,-94.55,272.95,180.00,11.92,10.51
14477,08_moving_fire,-126.14,241.36,180.00,25.74,13.43
14610,08_moving_fire,-143.12,224.38,180.00,12.17,13.29
14743,08_moving_fire,-160.09,207.41,180.00,12.80,18.16
14883,08_moving_fire,-177.83,189.67,180.00,24.44,13.34
15017,08_moving_fire,-194.88,172.62,180.00,11.54,11.27
15154,08_moving_fire,-212.42,155.08,180.00,13.16,22.19
15288,08_moving_fire,-229.47,138.04,180.00,22.18,13.15
15422,08_moving_fire,-246.48,121.03,180.00,10.64,11.49
15559,09_moving_reload,-263.86,103.64,180.00,13.43,25.45
15695,09_moving_reload,-270.83,123.06,180.00,17.88,12.75
15827,09_moving_reload,-271.56,146.93,180.00,20.28,13.19
15961,09_moving_reload,-271.62,171.02,180.00,13.37,17.84
16100,09_moving_reload,-271.63,196.08,180.00,13.43,24.37
16233,09_moving_reload,-271.63,219.99,180.00,15.10,13.35
16498,09_moving_reload,-271.63,267.57,180.00,13.26,13.34
16630,09_moving_reload,-271.63,291.36,180.00,13.44,25.38
16766,09_moving_reload,-271.63,315.88,180.00,13.41,15.41
16902,09_moving_reload,-271.63,340.43,180.00,23.01,13.43
17035,09_moving_reload,-271.63,364.30,180.00,19.87,13.42
17170,09_moving_reload,-271.63,388.63,180.00,13.41,19.11
17300,09_moving_reload,-271.63,412.03,180.00,13.44,23.68
17435,09_moving_reload,-271.63,436.21,180.00,15.07,13.35
17564,09_moving_reload,-271.63,459.44,180.00,25.78,13.44
17693,09_moving_reload,-271.63,482.74,180.00,13.26,13.33
17821,09_moving_reload,-271.63,505.84,180.00,13.44,25.18
17955,09_moving_reload,-271.63,529.85,180.00,13.44,17.00
18085,10_ready,-271.63,553.29,180.00,21.91,13.45
18214,10_ready,-271.63,553.29,0.00,22.35,13.46
18342,10_ready,-271.63,553.29,0.00,13.50,13.50
18469,10_ready,-271.63,553.29,0.00,13.50,13.50
18602,10_ready,-271.63,553.29,0.00,13.50,13.50
18736,10_ready,-271.63,553.29,0.00,13.50,13.50
18993,10_ready,-271.63,553.29,0.00,13.50,13.50
19118,10_ready,-271.63,553.29,0.00,13.50,13.50
19251,10_ready,-271.63,553.29,0.00,13.50,13.50
19382,10_ready,-271.63,553.29,0.00,13.50,13.50
19507,10_ready,-271.63,553.29,0.00,13.50,13.50
19640,10_ready,-271.63,553.29,0.00,13.50,13.50
19780,10_ready,-271.63,553.29,0.00,13.50,13.50
19912,10_ready,-271.63,553.29,0.00,13.50,13.50
20047,crowd_combat,-271.63,553.29,0.00,13.50,13.50
20191,crowd_combat,-292.80,553.29,180.00,13.34,24.30
20321,crowd_combat,-316.21,553.29,180.00,11.26,10.99
20454,crowd_combat,-340.26,553.29,180.00,24.45,13.33
20589,crowd_combat,-364.56,553.29,180.00,24.45,13.33
20720,crowd_combat,-388.06,553.29,180.00,12.21,12.64
20854,crowd_combat,-412.28,553.29,180.00,26.25,13.47
20997,crowd_combat,-437.99,553.29,180.00,12.34,13.49
21132,crowd_combat,-462.32,553.29,180.00,12.94,19.33
21269,crowd_combat,-486.97,553.29,180.00,23.90,13.32
21404,crowd_combat,-511.27,553.29,180.00,10.95,11.47
21548,crowd_combat,-537.12,553.29,180.00,13.27,23.65
21683,crowd_combat,-561.39,553.29,180.00,19.46,12.95
21812,crowd_combat,-584.55,553.29,180.00,13.28,12.35
21942,crowd_combat,-608.11,553.29,180.00,13.45,25.98
22075,crowd_combat,-632.03,553.29,180.00,12.01,11.76
22207,crowd_combat,-655.78,553.29,180.00,25.63,13.46
22338,crowd_combat,-679.38,553.29,180.00,12.60,13.62
22471,crowd_combat,-703.22,553.29,180.00,13.43,25.19
22601,crowd_combat,-726.71,553.29,180.00,13.83,12.65
22727,crowd_combat,-749.33,553.29,180.00,25.65,13.45
22855,crowd_combat,-772.43,553.29,180.00,25.65,13.45
22983,crowd_combat,-795.42,553.29,180.00,13.43,25.71
23115,crowd_combat,-819.16,553.29,180.00,12.81,12.64
23240,crowd_combat,-841.73,553.29,180.00,26.24,13.48
23369,crowd_combat,-864.94,553.29,180.00,14.04,13.44
23501,crowd_combat,-888.64,553.29,180.00,13.45,23.70
23633,crowd_combat,-912.47,553.29,180.00,13.43,19.66
23762,crowd_combat,-935.63,553.29,180.00,18.81,13.41
23889,crowd_combat,-958.49,553.29,180.00,24.47,13.43
