file,audio_seconds,world_seconds,phase,weapon,ammo,reserve,operation
frame_00000.jpg,0.019485,2.005453,0,0,24,192,0
frame_00001.jpg,0.063942,2.050673,0,0,24,192,0
frame_00002.jpg,0.108817,2.095152,0,0,24,192,0
frame_00003.jpg,0.152334,2.140033,0,0,24,192,0
frame_00004.jpg,0.197214,2.183597,0,0,24,192,0
frame_00005.jpg,0.243718,2.228464,0,0,24,192,0
frame_00006.jpg,0.288218,2.275047,0,0,24,192,0
frame_00007.jpg,0.332101,2.319443,0,0,24,192,0
frame_00008.jpg,0.376479,2.363323,0,0,24,192,0
frame_00009.jpg,0.420349,2.407689,0,0,24,192,0
frame_00010.jpg,0.464596,2.451560,0,0,24,192,0
frame_00011.jpg,0.509026,2.495935,0,0,24,192,0
frame_00012.jpg,0.552720,2.540267,0,0,24,192,0
frame_00013.jpg,0.596858,2.583928,0,0,24,192,0
frame_00014.jpg,0.640933,2.628102,0,0,24,192,0
frame_00015.jpg,0.684741,2.672149,0,0,24,192,0
frame_00016.jpg,0.728705,2.715945,0,0,24,192,0
frame_00017.jpg,0.772799,2.759909,0,0,24,192,0
frame_00018.jpg,0.816778,2.804066,0,0,24,192,0
frame_00019.jpg,0.860164,2.847970,0,0,24,192,0
frame_00020.jpg,0.903973,2.891374,0,0,24,192,0
frame_00021.jpg,0.947637,2.935182,0,0,24,192,0
frame_00022.jpg,0.991421,2.978872,0,0,24,192,0
frame_00023.jpg,1.035140,3.022630,0,0,24,192,0
frame_00024.jpg,1.079160,3.066365,0,0,24,192,0
frame_00025.jpg,1.122469,3.110374,0,0,24,192,0
frame_00026.jpg,1.166731,3.153678,0,0,24,192,0
frame_00027.jpg,1.210024,3.197950,0,0,24,192,0
frame_00028.jpg,1.253607,3.241241,0,0,24,192,0
frame_00029.jpg,1.297810,3.284846,0,0,24,192,0
frame_00030.jpg,1.342507,3.329067,0,0,24,192,0
frame_00031.jpg,1.387356,3.373850,0,0,24,192,0
frame_00032.jpg,1.431215,3.418598,0,0,24,192,0
frame_00033.jpg,1.475229,3.462468,0,0,24,192,0
frame_00034.jpg,1.518362,3.506446,0,0,24,192,0
frame_00035.jpg,1.562116,3.549567,0,0,24,192,0
frame_00036.jpg,1.606051,3.593341,0,0,24,192,0
frame_00037.jpg,1.649869,3.637275,0,0,24,192,0
frame_00038.jpg,1.693482,3.681080,0,0,24,192,0
frame_00039.jpg,1.737557,3.724698,0,0,24,192,0
frame_00040.jpg,1.781585,3.768755,0,0,24,192,0
frame_00041.jpg,1.825697,3.812799,0,0,24,192,0
frame_00042.jpg,1.869025,3.856906,0,0,24,192,0
frame_00043.jpg,1.913210,3.900223,0,0,24,192,0
frame_00044.jpg,1.956915,3.944432,0,0,24,192,0
frame_00045.jpg,2.001612,3.988143,0,0,24,192,0
frame_00046.jpg,2.046988,4.033194,1,0,23,192,2
frame_00047.jpg,2.091435,4.078205,1,0,23,192,2
