capture_frame_index,elapsed_start_seconds,event_count,FrameTime_ms,RenderThreadTime_ms,GameThreadTime_ms,RHIThreadTime_ms,PhysicsVerbose/AllWorkers/StepSolver_ms,PhysicsVerbose/AllWorkers/StepSolver_Integrate_ms,PhysicsVerbose/AllWorkers/StepSolver_KinematicTargets_ms,PhysicsVerbose/AllWorkers/StepSolver_UpdateConstraintPositionBasedState_ms,PhysicsVerbose/AllWorkers/StepSolver_ComputeIntermediateSpatialAcceleration_ms,PhysicsVerbose/AllWorkers/StepSolver_IntegrateKinematicSpatial_ms,PhysicsVerbose/AllWorkers/DetectCollisions_BroadPhase_ms,PhysicsVerbose/AllWorkers/DetectCollisions_NarrowPhase_ms,PhysicsVerbose/AllWorkers/StepSolver_DetectCollisions_ms,PhysicsVerbose/AllWorkers/CCD_ms,PhysicsVerbose/AllWorkers/StepSolver_CreateConstraintGraph_ms,PhysicsVerbose/AllWorkers/StepSolver_CreateIslands_ms,PhysicsVerbose/AllWorkers/StepSolver_PruneCollisions_ms,PhysicsVerbose/AllWorkers/StepSolver_ReloadCacheTotalSerialized_ms,PhysicsVerbose/AllWorkers/StepSolver_BuildGroups_ms,PhysicsVerbose/AllWorkers/StepSolver_PerIslandSolve_ms,PhysicsVerbose/AllWorkers/StepSolver_CCDCorrection_ms,PhysicsVerbose/AllWorkers/StepSolver_SavePostSolve_ms,PhysicsVerbose/AllWorkers/StepSolver_DeactivateSleep_ms,PhysicsVerbose/AllWorkers/StepSolver_IslandEndTick_ms,PhysicsVerbose/AllWorkers/StepSolver_AdvanceOneTimeStepImpl_ms,PhysicsVerbose/AllWorkers/StepSolver_PullData_ms,PhysicsVerbose/GameThread/AcquireSceneWriteLock_ms,PhysicsCounters/NumDisabledBodies_native,PhysicsCounters/NumBodies_native,PhysicsCounters/NumDynamicBodies_native,PhysicsCounters/NumKinematicBodies_native,PhysicsCounters/NumStaticBodies_native,PhysicsCounters/NumMovingBodies_native,PhysicsCounters/NumGeometryCollectionBodies_native,PhysicsCounters/NumIslands_native,PhysicsCounters/NumIslandGroups_native,PhysicsCounters/NumContacts_native,PhysicsCounters/NumJoints_native,PhysicsCounters/NumCharacterGroundConstraints_native,PhysicsCounters/NumValidConstraints_native,PhysicsCounters/NumActiveConstraints_native,PhysicsCounters/NumRestoredConstraints_native,PhysicsCounters/NumManifoldPoints_native,PhysicsCounters/NumActiveManifoldPoints_native,PhysicsCounters/NumRestoredManifoldPoints_native,PhysicsCounters/NumUpdatedManifoldPoints_native,PhysicsCounters/NumStaticShapes_native,PhysicsCounters/NumKinematicShapes_native,PhysicsCounters/NumDynamicShapes_native,PhysicsCounters/NumBroadPhasePairs_native,PhysicsCounters/NumMidPhases_native,PhysicsCounters/NumPositionIterations_native,PhysicsCounters/NumVelocityIterations_native,PhysicsCounters/NumProjectionIterations_native
0,0.0,0,9.4089,9.383,141.2953,17.9143,0.863,0.0082,0.0041,0.0004,0.1668,0.1936,0.0119,0.0085,0.053,0.0003,0.0072,0.0087,0.0011,0.0002,0.0165,0.0058,0.0032,0.0001,0.0008,0.0,0.3365,0.0898,0.0015,0.0,65.0,0.0,2.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1,0.0094089,0,6.975,2.4382,4.3685,2.6648,0.2763,0.0025,0.0073,0.0004,0.1288,0.1427,0.0068,0.0019,0.0182,0.001,0.0023,0.0022,0.0002,0.0002,0.0103,0.003,0.0005,0.0001,0.0017,0.0,0.1955,0.0218,0.0013,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
2,0.0163839,0,6.0611,2.4382,4.0539,5.5056,0.1904,0.0049,0.0108,0.0003,0.0425,0.0638,0.0035,0.0016,0.0146,0.0001,0.0029,0.0021,0.0002,0.0002,0.0102,0.0018,0.0006,0.0001,0.002,0.0001,0.1158,0.0227,0.0009,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
3,0.022445,0,7.9877,2.1305,1.5853,2.1926,0.151,0.0044,0.0044,0.0004,0.0277,0.0399,0.0033,0.0013,0.0115,0.0003,0.0025,0.002,0.0002,0.0004,0.0124,0.0023,0.0006,0.0002,0.0012,0.0,0.0844,0.0214,0.001,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
4,0.0304327,0,8.7861,1.8679,1.4515,1.4299,0.1864,0.0042,0.0049,0.0003,0.0377,0.0519,0.0032,0.0021,0.0153,0.0002,0.0023,0.0021,0.0002,0.0001,0.0106,0.0018,0.0006,0.0001,0.0019,0.0001,0.0976,0.034,0.0008,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
5,0.0392188,0,8.1415,1.986,2.0074,1.6233,0.1794,0.0045,0.0052,0.0004,0.0409,0.0575,0.0038,0.0015,0.0166,0.0004,0.0024,0.0028,0.0002,0.0001,0.0119,0.0018,0.0005,0.0001,0.0018,0.0001,0.1082,0.0246,0.0012,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
6,0.0473603,0,8.6082,1.8879,1.7767,1.5287,0.2463,0.0043,0.0076,0.0002,0.044,0.0618,0.0045,0.0018,0.0214,0.0002,0.0034,0.0052,0.0007,0.0001,0.0192,0.0031,0.0007,0.001,0.003,0.0001,0.1378,0.0447,0.0016,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
7,0.055968500000000004,0,8.0683,2.0939,1.9662,1.5678,0.2095,0.0057,0.0148,0.0003,0.03,0.0553,0.0039,0.0018,0.0181,0.0003,0.0033,0.0034,0.0003,0.0001,0.0135,0.0033,0.0006,0.0001,0.0018,0.0,0.114,0.0279,0.0016,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
8,0.0640368,0,8.0943,2.0617,1.5226,1.4468,0.1771,0.007,0.0066,0.0005,0.0285,0.0463,0.0038,0.0014,0.0144,0.0001,0.0024,0.0026,0.0001,0.0001,0.0135,0.003,0.0006,0.0002,0.0017,0.0001,0.0995,0.0261,0.0008,0.0,130.0,0.0,4.0,126.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,2.0
9,0.0721311,0,8.6404,1.9878,1.6454,1.439,0.2079,0.004,0.0051,0.0003,0.0315,0.057,0.0073,0.0022,0.022,0.0003,0.004,0.0038,0.0002,0.0002,0.0159,0.0025,0.0011,0.0001,0.0023,0.0001,0.1257,0.0319,0.0009,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
