capture_frame_index,elapsed_start_seconds,event_count,FrameTime_ms,RenderThreadTime_ms,GameThreadTime_ms,RHIThreadTime_ms,PhysicsVerbose/AllWorkers/StepSolver_ms,PhysicsVerbose/AllWorkers/StepSolver_Integrate_ms,PhysicsVerbose/AllWorkers/StepSolver_KinematicTargets_ms,PhysicsVerbose/AllWorkers/StepSolver_UpdateConstraintPositionBasedState_ms,PhysicsVerbose/AllWorkers/StepSolver_ComputeIntermediateSpatialAcceleration_ms,PhysicsVerbose/AllWorkers/StepSolver_IntegrateKinematicSpatial_ms,PhysicsVerbose/AllWorkers/DetectCollisions_BroadPhase_ms,PhysicsVerbose/AllWorkers/DetectCollisions_NarrowPhase_ms,PhysicsVerbose/AllWorkers/StepSolver_DetectCollisions_ms,PhysicsVerbose/AllWorkers/CCD_ms,PhysicsVerbose/AllWorkers/StepSolver_CreateConstraintGraph_ms,PhysicsVerbose/AllWorkers/StepSolver_CreateIslands_ms,PhysicsVerbose/AllWorkers/StepSolver_PruneCollisions_ms,PhysicsVerbose/AllWorkers/StepSolver_ReloadCacheTotalSerialized_ms,PhysicsVerbose/AllWorkers/StepSolver_BuildGroups_ms,PhysicsVerbose/AllWorkers/StepSolver_PerIslandSolve_ms,PhysicsVerbose/AllWorkers/StepSolver_CCDCorrection_ms,PhysicsVerbose/AllWorkers/StepSolver_SavePostSolve_ms,PhysicsVerbose/AllWorkers/StepSolver_DeactivateSleep_ms,PhysicsVerbose/AllWorkers/StepSolver_IslandEndTick_ms,PhysicsVerbose/AllWorkers/StepSolver_AdvanceOneTimeStepImpl_ms,PhysicsVerbose/AllWorkers/StepSolver_PullData_ms,PhysicsVerbose/GameThread/AcquireSceneWriteLock_ms,PhysicsCounters/NumDisabledBodies_native,PhysicsCounters/NumBodies_native,PhysicsCounters/NumDynamicBodies_native,PhysicsCounters/NumKinematicBodies_native,PhysicsCounters/NumStaticBodies_native,PhysicsCounters/NumMovingBodies_native,PhysicsCounters/NumGeometryCollectionBodies_native,PhysicsCounters/NumIslands_native,PhysicsCounters/NumIslandGroups_native,PhysicsCounters/NumContacts_native,PhysicsCounters/NumJoints_native,PhysicsCounters/NumCharacterGroundConstraints_native,PhysicsCounters/NumValidConstraints_native,PhysicsCounters/NumActiveConstraints_native,PhysicsCounters/NumRestoredConstraints_native,PhysicsCounters/NumManifoldPoints_native,PhysicsCounters/NumActiveManifoldPoints_native,PhysicsCounters/NumRestoredManifoldPoints_native,PhysicsCounters/NumUpdatedManifoldPoints_native,PhysicsCounters/NumStaticShapes_native,PhysicsCounters/NumKinematicShapes_native,PhysicsCounters/NumDynamicShapes_native,PhysicsCounters/NumBroadPhasePairs_native,PhysicsCounters/NumMidPhases_native,PhysicsCounters/NumPositionIterations_native,PhysicsCounters/NumVelocityIterations_native,PhysicsCounters/NumProjectionIterations_native
0,0.0,0,9.9712,9.6068,141.9781,20.1696,0.8471,0.0076,0.004,0.0004,0.1686,0.1947,0.0101,0.0072,0.0458,0.0002,0.0063,0.0082,0.0011,0.0001,0.0186,0.0051,0.0031,0.0002,0.0012,0.0002,0.328,0.0528,0.0017,0.0,65.0,0.0,2.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1,0.0099712,0,4.2451,9.6068,3.9349,2.5193,0.1831,0.0041,0.0075,0.0003,0.063,0.078,0.005,0.0013,0.0166,0.0002,0.0027,0.0021,0.0002,0.0001,0.0097,0.0017,0.0006,0.0,0.0013,0.0001,0.1241,0.0169,0.0009,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
2,0.0142163,0,8.8938,2.2045,1.6454,1.666,0.2149,0.0063,0.0084,0.0004,0.0446,0.0641,0.0054,0.002,0.0242,0.0003,0.0025,0.0025,0.0006,0.0002,0.0105,0.0027,0.0006,0.0001,0.0019,0.0001,0.1304,0.0296,0.0013,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
3,0.0231101,0,7.9575,2.2166,1.9325,1.6288,0.2064,0.0335,0.0048,0.0005,0.0411,0.0859,0.0044,0.0026,0.0177,0.0002,0.0023,0.0026,0.0002,0.0001,0.0131,0.002,0.0006,0.0,0.0016,0.0001,0.1378,0.0218,0.0009,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
4,0.0310676,0,8.3563,2.4526,1.4223,1.6121,0.1511,0.0055,0.0083,0.0003,0.0391,0.0553,0.0029,0.0013,0.0159,0.0003,0.0014,0.0019,0.0001,0.0002,0.0081,0.0017,0.0005,0.0001,0.0014,0.0001,0.0954,0.0222,0.0016,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
5,0.0394239,0,8.2772,1.8751,1.8636,1.4702,0.1878,0.0018,0.0064,0.0002,0.0504,0.0608,0.0049,0.002,0.0235,0.0005,0.0043,0.0035,0.0001,0.0001,0.0127,0.0022,0.0007,0.0003,0.0019,0.0001,0.1265,0.0253,0.0009,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
6,0.047701099999999996,0,8.4885,2.218,1.5802,1.8626,0.1798,0.0033,0.0046,0.0005,0.0352,0.0478,0.0037,0.0017,0.0174,0.0003,0.0026,0.003,0.0001,0.0001,0.0152,0.0019,0.0006,0.0002,0.0019,0.0,0.1052,0.0262,0.0011,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
7,0.05618959999999999,0,8.7755,2.1462,2.1875,1.5019,0.2744,0.0049,0.0172,0.0007,0.035,0.0644,0.0051,0.0033,0.0271,0.0005,0.0045,0.0043,0.0002,0.0005,0.0241,0.0046,0.0013,0.0004,0.0024,0.0001,0.1584,0.0348,0.0013,0.0,130.0,0.0,4.0,126.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,2.0
8,0.0649651,0,7.8372,2.1592,1.9114,1.5309,0.1865,0.0075,0.0048,0.0003,0.0491,0.0652,0.0049,0.0013,0.0199,0.0003,0.0017,0.0017,0.0002,0.0,0.0101,0.0021,0.0005,0.0,0.0015,0.0001,0.1152,0.0279,0.0009,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
9,0.0728023,0,8.1084,2.0873,1.6514,1.4412,0.1817,0.0056,0.0102,0.0003,0.0245,0.0438,0.0038,0.0016,0.0219,0.0005,0.0023,0.003,0.0001,0.0002,0.0146,0.0023,0.0008,0.0002,0.0021,0.0001,0.1058,0.026,0.0009,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
